sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=36	elapsed_ms=0.006042
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=37	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=38	elapsed_ms=0.006342
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=39	elapsed_ms=0.006201
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=40	elapsed_ms=0.006161
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=41	elapsed_ms=0.006082
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=42	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=43	elapsed_ms=0.006142
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=44	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=45	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=46	elapsed_ms=0.006181
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=47	elapsed_ms=0.006122
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=48	elapsed_ms=0.006122
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=49	elapsed_ms=0.006181
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=50	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=51	elapsed_ms=0.006212
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=52	elapsed_ms=0.006122
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=53	elapsed_ms=0.006151
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=54	elapsed_ms=0.006112
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=55	elapsed_ms=0.006152
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=56	elapsed_ms=0.007424
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=57	elapsed_ms=0.012463
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=58	elapsed_ms=0.011791
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=59	elapsed_ms=0.012664
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=60	elapsed_ms=0.012313
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=61	elapsed_ms=0.012583
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=62	elapsed_ms=0.012212
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=63	elapsed_ms=0.012483
