backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,hash_diff_10,integer,10000,crit_bit,20,1751401,2171039,1749000,2169000,75108,596,84376,0,0,3268216,0
model,hash_diff_10,integer,50000,c2_slotted,20,9968831,10573187,9968000,10574000,190588,1080,1300504,0,0,4704661,0
model,hash_diff_10,integer,50000,crit_bit,20,2510438,2620447,2510000,2619000,320908,788,110840,0,0,16344388,0
model,hash_diff_10,integer,100000,c2_slotted,20,11324873,11973880,11324000,11974000,367028,1178,1481562,0,0,9415333,0
model,hash_diff_10,integer,100000,crit_bit,20,2801145,2942065,2798000,2941000,628392,824,116194,0,0,32858949,0
model,hash_diff_10,text,1000,c2_slotted,20,1968860,1994170,1969000,1995000,17256,230,224870,0,0,97616,0
model,hash_diff_10,text,1000,crit_bit,20,1102524,1144895,1101000,1140000,19772,410,61896,0,0,340064,0
model,hash_diff_10,text,10000,c2_slotted,20,6214308,6372109,6214000,6370000,49976,718,749490,0,0,970785,0
model,hash_diff_10,text,10000,crit_bit,20,1941210,2197159,1939000,2196000,75708,656,98258,0,0,3422337,0
model,hash_diff_10,text,50000,c2_slotted,20,9816700,11809721,9802000,11788000,194964,966,1096066,0,0,4852645,0
model,hash_diff_10,text,50000,crit_bit,20,2734176,2883485,2733000,2883000,325220,842,126454,0,0,17202615,0
model,hash_diff_10,text,100000,c2_slotted,20,11912870,13240044,11913000,13240000,371520,1076,1235916,0,0,9702123,0
model,hash_diff_10,text,100000,crit_bit,20,2825055,2941394,2824000,2921000,636440,824,124128,0,0,34427666,0
model,hash_diff_10,uuid,1000,c2_slotted,20,1946900,2047999,1946000,2048000,16940,218,255858,0,0,112220,0
model,hash_diff_10,uuid,1000,crit_bit,20,712766,780476,711000,779000,19624,410,76436,0,0,376033,0
model,hash_diff_10,uuid,10000,c2_slotted,20,6040760,6738876,6041000,6737000,49692,694,870198,0,0,1113180,0
model,hash_diff_10,uuid,10000,crit_bit,20,1139185,1294434,1138000,1292000,76668,638,119476,0,0,3760753,0
model,hash_diff_10,uuid,50000,c2_slotted,20,9237723,10042690,9235000,10041000,193076,972,1394698,0,0,5547342,0
model,hash_diff_10,uuid,50000,crit_bit,20,1538132,1644521,1536000,1643000,329648,776,145898,0,0,18786825,0
model,hash_diff_10,uuid,100000,c2_slotted,20,11361983,11632932,11361000,11623000,373004,1146,1687392,0,0,11101162,0
model,hash_diff_10,uuid,100000,crit_bit,20,1672262,1924460,1671000,1924000,646628,782,147128,0,0,37549580,0
model,hash_diff_1pct,composite,1000,c2_slotted,20,2038700,2066730,2039000,2067000,17468,232,265574,0,0,117006,0
model,hash_diff_1pct,composite,1000,crit_bit,20,1242104,1299773,1240000,1298000,19904,434,93856,0,0,423215,0
model,hash_diff_1pct,composite,10000,c2_slotted,20,19589970,20449987,19576000,20430000,52152,2062,2438288,0,0,1145868,0
model,hash_diff_1pct,composite,10000,crit_bit,20,13282713,13755030,13274000,13755000,79324,4358,934910,0,0,4233699,0
model,hash_diff_1pct,composite,50000,c2_slotted,20,103146182,108048666,103129000,108027000,205644,10556,12429842,0,0,5734258,0
model,hash_diff_1pct,composite,100000,c2_slotted,20,211404507,221512315,211407000,221451000,393272,21296,25108129,0,0,11468707,0
model,hash_diff_1pct,integer,1000,c2_slotted,20,1767271,1798841,1768000,1799000,17380,204,216718,0,0,94541,0
model,hash_diff_1pct,integer,1000,crit_bit,20,992915,1071165,992000,1069000,19688,374,53706,0,0,326138,0
model,hash_diff_1pct,integer,10000,c2_slotted,20,17837420,18192658,17837000,18193000,49424,1992,2159326,0,0,942143,0
model,hash_diff_1pct,integer,10000,crit_bit,20,12006909,13201973,12006000,13182000,75108,4250,608954,0,0,3268216,0
